Image,SSIM,PSNR,N Compression,,,Image,SSIM,PSNR,N Compression
01.png,0.943853385,26.35317767,0.523958333,,,01.png,0.5175,16.9,0.726
02.png,0.920221943,28.64941225,0.364305556,,,02.png,0.5835,20.37,0.6663
03.png,0.875012679,27.16225977,0.388680556,,,03.png,0.7053,20.61,0.592
04.png,0.916615772,26.53169468,0.4871875,,,04.png,0.4821,18.87,0.6531
05.png,0.827182653,31.08749121,0.256111111,,,05.png,0.7703,25.4,0.5885
06.png,0.891073314,27.99462301,0.377013889,,,06.png,0.7622,21.41,0.6368
07.png,0.924152358,28.01469875,0.392395833,,,07.png,0.6091,19.9,0.6659
08.png,0.931194497,28.40131761,0.370486111,,,08.png,0.7045,20.09,0.6928
09.png,0.817625117,28.89877948,0.280763889,,,09.png,0.6634,24.65,0.5092
10.png,0.897863059,31.91046108,0.262326389,,,10.png,0.7932,31.91046108,0.629
Average,0.894479478,28.50039155,0.370322917,,,Average,0.6591,21.26,0.63956
